response,predictor,slope_ZZF,slope_se_ZZF,upper limit,lower limit,,se_ZWF,se_ZWF,upper limit,lower limit,,ZZM slope,se_ZZM,upper limit,lower limit,,,slopediff_ZZM,se_ZZM,t_ZZM,p_ZZM,adj.r2
log(Bite Force),log(Mass),0.567,0.047,0.614,0.520,,0.581,0.063,0.643,0.518,,0.729,0.059,0.788,0.669,,,0.161505844,0.059,2.719135776,0.007933832,0.892759562
log(Bite Force),log(SVL),1.747,0.169,1.916,1.578,,1.799,0.226,2.026,1.573,,2.222,0.213,2.435,2.009,,,0.474947262,0.213,2.229326499,0.028429423,0.860089918
log(Bite Force),log(HLroret),1.983,0.173,2.155,1.810,,1.939,0.228,2.167,1.710,,2.262,0.211,2.473,2.051,,,0.279216517,0.211,1.323498049,0.189218615,0.88059376
log(Bite Force),log(HLroqu),2.094,0.173,2.267,1.921,,2.207,0.237,2.444,1.969,,2.433,0.213,2.645,2.220,,,0.339048166,0.213,1.594937313,0.114437968,0.891076252
log(Bite Force),log(HWqu),1.895,0.147,2.043,1.748,,1.882,0.200,2.082,1.682,,2.233,0.183,2.416,2.050,,,0.337390791,0.183,1.84488965,0.068536371,0.898839929
log(Bite Force),log(HWmt),2.095,0.176,2.271,1.919,,2.106,0.237,2.343,1.868,,2.422,0.217,2.639,2.205,,,0.327216002,0.217,1.50830774,0.135183849,0.885031153
log(Bite Force),log(HDmt),2.003,0.173,2.176,1.829,,1.922,0.228,2.150,1.694,,2.190,0.209,2.399,1.981,,,0.187066514,0.209,0.895384965,0.37310996,0.88146425
,,1.75,,,,,1.8,,,,,2.19,,,,,,,,,,
,,2.09,,,,,2.21,,,,,2.43,,,,,,,,,,
,,1.9694,,,,,1.9757,,,,,2.2935,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
log(Bite Force nl),log(Mass),0.601764037,0.050875483,,,,,,,,,,0.064760239,,,,,0.147531463,0.064760239,2.278117939,0.025228203,0.882946882
log(Bite Force nl),log(SVL),1.847716479,0.181902038,,,,,,,,,,0.229602624,,,,,0.438614627,0.229602624,1.910320625,0.059463838,0.850795647
log(Bite Force nl),log(HLroret),2.102028617,0.190819846,,,,,,,,,,0.232953227,,,,,0.217140264,0.232953227,0.93211958,0.353914824,0.866324722
log(Bite Force nl),log(HLroqu),2.206580703,0.192162996,,,,,,,,,,0.235989331,,,,,0.292510135,0.235989331,1.239505761,0.218569631,0.876748004
log(Bite Force nl),log(HWqu),2.004180703,0.159614731,,,,,,,,,,0.198431329,,,,,0.295780713,0.198431329,1.490594826,0.139769618,0.890648144
log(Bite Force nl),log(HWmt),2.22490517,0.191496226,,,,,,,,,,0.236583148,,,,,0.261059989,0.236583148,1.103459782,0.272941767,0.874460368
log(Bite Force nl),log(HDmt),2.128835174,0.184120563,,,,,,,,,,0.221722234,,,,,0.134247798,0.221722234,0.605477383,0.546475131,0.877420585
