response,predictor,df,df_pred,F_pred,p_pred,df_gen,F_gen,p_gen,df_int,F_int,p_int,slope_ZZf,slope_se_ZZf,t_ZZf,p_ZZf,slopediff_ZWf,se_ZWf,t_ZWf,p_ZWf,slopediff_ZZm,se_ZZm,t_ZZm,p_ZZm,adj.r2
log(Bite Force),log(Mass),85,1,740.4700703367263,9.987959250557845e-44,2,1.754710856800469,0.17916387831617642,2,5.1280834906018296,0.007894915954187436,0.5670404324687957,0.0466613655858663,12.15224683952567,2.7868876012711174e-20,-0.027611454590917024,0.2898268339795566,-0.09526879968907448,0.9243255638546315,-0.5859199623458169,0.27420168247159815,-2.1368211787194507,0.035486361764695475,0.8927595615945835
log(Bite Force),log(SVL),85,1,548.8954894329505,7.603285759985957e-39,2,1.2952843659539646,0.27916895887935916,2,3.392119515174829,0.03825248029022426,1.7469676995730667,0.16878444851069627,10.350288281816185,1.0152583246358106e-16,-0.199818938337029,1.1173831277730677,-0.17882759580884844,0.858498634954198,-2.2112283192469944,1.0529580192513146,-2.100015650024913,0.03869150063024967,0.860089918044687
log(Bite Force),log(HLroret),85,1,664.743812161649,5.997262494972356e-42,2,0.2828657639390825,0.754327549066839,2,1.7099553450024965,0.18703646553567443,1.9825237828482258,0.1728114876220425,11.472175895992637,5.954948501922939e-19,0.1905217804064151,0.842369374661583,0.2261736788365034,0.8216093281472571,-1.0068307559648322,0.781599017960562,-1.2881678876618483,0.20118319328260797,0.8805937601654592
log(Bite Force),log(HLroqu),85,1,737.185737244765,1.183472065862935e-43,2,0.5960177887315519,0.5532876808168622,2,1.444161091184893,0.24167373810121273,2.0935691042649434,0.173099245505571,12.094617155321826,3.606034193561086e-20,-0.34456306638926887,0.8339617794303451,-0.41316409802932436,0.6805268349599412,-1.1597218710302992,0.7521094146774113,-1.5419589868153927,0.1267984322703816,0.8910762518949793
log(Bite Force),log(HWqu),85,1,798.4554511177155,5.557083810683924e-45,2,0.3733302566038942,0.6895610214413344,2,2.738488581594376,0.07037782513995401,1.895407543525895,0.1471043650186875,12.884781109555183,1.0866414536966186e-21,0.07601449526458447,0.6735818424641457,0.11285116443534576,0.9104146533193429,-1.1006330840126617,0.6196368251425448,-1.7762551213115292,0.07926919846810816,0.8988399287635412
log(Bite Force),log(HWmt),85,1,692.9536365501616,1.245200449755345e-42,2,0.720949550988922,0.489239606823306,2,1.7126099106318091,0.18655979142206197,2.0949554927587766,0.17559857503889614,11.930367272597351,7.529973643071559e-20,0.012667578284516754,0.7957125319995761,0.015919792356020732,0.9873356882417532,-1.0149416994053144,0.7300763871136389,-1.390185626216309,0.16810225172732848,0.8850311525713528
log(Bite Force),log(HDmt),85,1,671.2798690531878,4.144854208405775e-42,2,0.39123810895922984,0.6774305142205181,2,1.101131631811739,0.33718999294783986,2.0026862309392803,0.17349193946008915,11.543396408914935,4.3123696469697425e-19,0.23208719671545464,0.6696834075258923,0.34656256091649,0.7297764415655252,-0.5843129775976801,0.6169354076444139,-0.9471218062012473,0.34626156273317266,0.8814642497644044
log(Bite Force nl),log(Mass),85,1,672.6213704673518,3.843709835631692e-42,2,1.8144823564005772,0.16917574628243176,2,3.8156818067491782,0.02588730903034656,0.6017640367649424,0.050875482602679246,11.828173532318528,1.1921708123149744e-19,0.030024318174642857,0.31600189717514,0.09501309467772677,0.9245280584333943,-0.5099169405051392,0.2989655950068178,-1.705604086294648,0.09173374912491761,0.8829468822821419
log(Bite Force nl),log(SVL),85,1,510.2214422087779,1.1093041864046936e-37,2,1.4199130244497375,0.24740985379011154,2,2.5691457893730307,0.08253879747953415,1.8477164786720628,0.18190203811527286,10.157755777871763,2.4737315022773624e-16,-0.0988184770284663,1.204223908606477,-0.08205988630703956,0.9347920186291929,-2.019475329626505,1.134791809563526,-1.7795998460750735,0.07871566739683525,0.8507956470916418
log(Bite Force nl),log(HLroret),85,1,585.3427863335584,7.036537996529269e-40,2,0.3556940157073443,0.7017249092275069,2,1.1095797563160725,0.33442497901940244,2.1020286169154523,0.19081984564698481,11.015775690355543,4.7605974994422264e-18,0.35331027489104233,0.9301510927458017,0.37984181026769753,0.7050102574116768,-0.7697997214136031,0.863047972200001,-0.8919547304552513,0.374935291576192,0.8663247221129937
